duration_minutes,duration_seasons,type,title,date_added,release_year,rating,description,show_id,director,country,cast,listed_in
90,,Movie,The Runner,2017-09-08 00:00:00,2015.0,R,A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.,80057700.0,Austin Stark,United States,Nicolas Cage,Dramas
80,,Movie,6 Years,2015-09-08 00:00:00,2015.0,NR,"As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.",80045922.0,Hannah Fidell,United States,Taissa Farmiga,Dramas
112,,Movie,Laddaland,2018-09-07 00:00:00,2011.0,TV-MA,"When a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity.",70241607.0,Sopon Sukdapisit,Thailand,Saharat Sangkapreecha,Horror Movies
106,,Movie,Next Gen,2018-09-07 00:00:00,2018.0,TV-PG,"When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain.",80988892.0,Kevin R. Adams,China,John Krasinski,Children & Family Movies
106,,Movie,Sierra Burgess Is A Loser,2018-09-07 00:00:00,2018.0,PG-13,A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.,80239639.0,Ian Samuels,United States,Shannon Purser,Comedies
102,,Movie,The Most Assassinated Woman in the World,2018-09-07 00:00:00,2018.0,TV-MA,"In 1930s Paris, an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past.",80159586.0,Franck Ribière,Belgium,Anna Mouglalis,Dramas
114,,Movie,Cézanne et moi,2017-09-07 00:00:00,2016.0,R,"This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola, who first met as schoolboys.",80152447.0,Daniele Thompson,Belgium,Guillaume Canet,Dramas
125,,Movie,Article 15,2019-09-06 00:00:00,2019.0,TV-MA,The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.,81154455.0,Anubhav Sinha,India,Ayushmann Khurrana,Dramas
133,,Movie,Ee Nagaraniki Emaindi,2019-09-06 00:00:00,2018.0,TV-14,"In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true.",81052275.0,Tharun Bhascker,India,Vishwaksen Naidu,Comedies
86,,Movie,Hell and Back,2018-09-06 00:00:00,2015.0,R,"When best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld.",80058026.0,Tom Gianas,United States,Nick Swardson,Action & Adventure
146,,Movie,PK,2018-09-06 00:00:00,2014.0,TV-14,Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.,70303496.0,Rajkumar Hirani,India,Aamir Khan,Comedies
79,,Movie,Hard Tide,2017-09-06 00:00:00,2015.0,TV-MA,A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.,80162141.0,Robert Osman,United Kingdom,Nathanael Wiseman,Dramas
102,,Movie,Elstree 1976,2016-09-06 00:00:00,2015.0,TV-PG,"Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever.",80095641.0,Jon Spira,United Kingdom,Paul Blake,Documentaries
122,,Movie,ATM,2018-09-05 00:00:00,2012.0,TV-14,"When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job.",80159880.0,Mez Tharatorn,United States,Chantavit Dhanasevi,Comedies
126,,Movie,Bangkok Traffic (Love) Story,2018-09-05 00:00:00,2009.0,TV-14,"After an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love.",81016044.0,Adisorn Tresirikasem,Thailand,Theeradej Wongpuapan,Comedies
116,,Movie,I Fine... Thank You... Love You,2018-09-05 00:00:00,2014.0,TV-14,"Desperate to go to the U.S. to win back his girlfriend, Yim hires a tutor to teach him English. But things don't go according to plan.",80158838.0,Mez Tharatorn,Thailand,Preechaya Pongthananikorn,Comedies
135,,Movie,One Day,2018-09-05 00:00:00,2016.0,TV-PG,"When his colleague (and crush) temporarily loses her memory, an overlooked geek seizes the chance to make an impression before she remembers again.",81016045.0,Banjong Pisanthanakun,Thailand,Chantavit Dhanasevi,Dramas
125,,Movie,Phobia 2,2018-09-05 00:00:00,2009.0,TV-MA,"From disfiguring punishments to festering souls, Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology.",70142798.0,Banjong Pisanthanakun,Thailand,Jirayu La-ongmanee,Horror Movies
96,,Movie,Shutter,2018-09-05 00:00:00,2004.0,TV-MA,"After killing a young girl in a hit-and-run accident, a couple is haunted by more than just the memory of their deadly choice.",70062814.0,Banjong Pisanthanakun,Thailand,Ananda Everingham,Horror Movies
130,,Movie,Suckseed,2018-09-05 00:00:00,2011.0,TV-MA,"When his boyhood crush Ern returns, Ped forms a band with his friend to impress her. Romantic rivalries bloom after the talented Ern joins the group.",80158839.0,Chayanop Boonprakob,Thailand,Jirayu La-ongmanee,Comedies
98,,Movie,Carrie Pilby,2017-09-05 00:00:00,2016.0,TV-14,"A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date.",80147760.0,Susan Johnson,United States,Bel Powley,Comedies
70,,Movie,Marc Maron: Too Real,2017-09-05 00:00:00,2017.0,TV-MA,"Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world.",80177405.0,Lynn Shelton,United States,Marc Maron,Stand-Up Comedy
128,,Movie,Saawan,2019-09-04 00:00:00,2016.0,TV-14,"Outcast from society and left to die in the wilderness, a young boy with polio embarks on a journey to connect with his mother. Based on a true story.",81160036.0,Farhan Alam,Pakistan,Karam Hussain,Dramas
88,,Movie,The Heretics,2019-09-04 00:00:00,2017.0,TV-MA,A withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation.,81173255.0,Chad Archibald,Canada,Nina Kiri,Horror Movies
108,,Movie,The World We Make,2019-09-04 00:00:00,2019.0,PG,"A teenage equestrian and a local football player for each other, but simmering racism in their small town puts their relationship to the test.",81078908.0,Brian Baugh,United States,Caleb Castille,Dramas
93,,Movie,Watchman,2019-09-04 00:00:00,2019.0,TV-14,"Rushing to pay off a loan shark, a young man breaks into a bungalow to steal the cash, unprepared for the dog standing guard – or the trouble inside.",81155784.0,A. L. Vijay,India,G.V. Prakash Kumar,Comedies
135,,Movie,Black Panther,2018-09-04 00:00:00,2018.0,PG-13,"T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.",80201906.0,Ryan Coogler,United States,Chadwick Boseman,Action & Adventure
88,,Movie,Man Up,2018-09-04 00:00:00,2015.0,R,"A single woman seizes an opportunity when, while standing under a train station clock, she meets a stranger who mistakes her for his blind date.",80052612.0,Ben Palmer,United Kingdom,Lake Bell,Comedies
64,,Movie,Mo Gilligan: Momentum,2019-09-30 00:00:00,2019.0,TV-MA,"Comedian Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club.",81054495.0,Chris Howe,United Kingdom,Mo Gilligan,Stand-Up Comedy
107,,Movie,Big Miracle,2018-09-30 00:00:00,2012.0,PG,"After a reporter writes about whales trapped in the Arctic Circle, the U.S. and U.S.S.R. team up to rescue them in this tale inspired by true events.",70212504.0,Ken Kwapis,United States,Drew Barrymore,Children & Family Movies
130,,Movie,The Mayor,2017-09-30 00:00:00,2017.0,TV-MA,"With the presidency in mind, the incumbent mayor of Seoul runs for an unprecedented third term – and will stop at nothing to keep his secrets hidden.",80187061.0,Park In-je,South Korea,Min-sik Choi,Dramas
96,,Movie,The Debt Collector,2018-09-03 00:00:00,2018.0,TV-MA,"A broke martial arts instructor takes a side gig with a mobster, who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection.",80198585.0,Jesse V. Johnson,United Kingdom,Scott Adkins,Action & Adventure
112,,Movie,Act of Vengeance,2018-09-29 00:00:00,2010.0,NR,"Two Turkish agents are sent to New York City on a mission to capture a notorious terrorist known only as ""Dejjal"" (Arabic for Antichrist).",70233894.0,Mahsun Kırmızıgül,Turkey,Haluk Bilginer,Action & Adventure
111,,Movie,Paradise Lost,2018-09-29 00:00:00,2018.0,TV-MA,"A cop moonlights as the bodyguard for a young drag queen at a nightclub, and grows closer to the family of misfit singers that perform there.",81011955.0,Monique Gardenberg,Brazil,Júlio Andrade,Dramas
103,,Movie,Gerald's Game,2017-09-29 00:00:00,2017.0,TV-MA,"When her husband's sex game goes wrong, Jessie – handcuffed to a bed in a remote lake house – faces warped visions, dark secrets and a dire choice.",80128722.0,Mike Flanagan,United States,Carla Gugino,Horror Movies
103,,Movie,Our Souls at Night,2017-09-29 00:00:00,2017.0,TV-14,"After widowed neighbors Addie and Louis begin sleeping in bed together platonically to alleviate their loneliness, a real romance begins to blossom.",80104068.0,Ritesh Batra,United States,Robert Redford,Dramas
72,,Movie,"Monster High: Boo York, Boo York",2015-09-29 00:00:00,2015.0,TV-Y7,Cleo is invited to a gala in the big city celebrating a magical comet and brings her best friends along. But the sinister Nefera has other plans.,80019931.0,William Lau,United States,Karen Strassman,Children & Family Movies
89,,Movie,Domino,2019-09-28 00:00:00,2019.0,R,"A Copenhagen police officer hunts for the man who attacked his partner, only to stumble into a high-stakes game of espionage.",80200087.0,Brian De Palma,Denmark,Nikolaj Coster-Waldau,International Movies
126,,Movie,5CM,2018-09-28 00:00:00,2012.0,TV-14,"Five friends embark on a mission to climb the highest peak in Java, overcoming obstacles on the way and discovering the true meaning of friendship.",81002850.0,Rizal Mantovani,Indonesia,Herjunot Ali,Dramas
130,,Movie,Animal World,2018-09-28 00:00:00,2018.0,TV-MA,"An unlucky, debt-ridden teen resorts to his math skills when he's forced into a deadly tournament of rock-paper-scissors run by a diabolical host.",81004470.0,Han Yan,China,Li Yi Feng,Action & Adventure
126,,Movie,Hold the Dark,2018-09-28 00:00:00,2018.0,TV-MA,"In the grim Alaskan winter, a naturalist hunts for wolves blamed for killing a local boy, but he soon finds himself swept into a chilling mystery.",80157072.0,Jeremy Saulnier,United States,Jeffrey Wright,Action & Adventure
127,,Movie,Single,2018-09-28 00:00:00,2015.0,TV-PG,"Unemployed and immature, a somewhat pathetic bachelor sets his sights on finding a date for the wedding of his younger, more successful brother.",81002864.0,Raditya Dika,Indonesia,Raditya Dika,Comedies
108,,Movie,The 3rd Eye,2018-09-28 00:00:00,2018.0,TV-MA,"When her little sister claims she sees the dead, Alia consults a psychic, who opens her own eyes to the vengeful ghosts haunting their childhood home.",81016750.0,Rocky Soraya,Indonesia,Jessica Mila,Horror Movies
163,,Movie,The Sinking Of Van Der Wijck,2018-09-28 00:00:00,2013.0,TV-14,"When a young man leaves home to fulfill the wishes of his late father, he meets and falls in love with a woman from a very different background.",81002866.0,Sunil Soraya,Indonesia,Herjunot Ali,Dramas
102,,Movie,Deliha 2,2019-09-27 00:00:00,2018.0,TV-PG,"While chasing her dream of becoming a chef, Zeliha cooks up trouble in the kitchen with her wild, kooky and unsuspecting ways.",81132443.0,Gupse Özay,Turkey,Gupse Özay,Comedies
116,,Movie,In the Shadow of the Moon,2019-09-27 00:00:00,2019.0,TV-MA,A Philadelphia detective slowly unravels as he nurses a lifelong obsession with an enigmatic female serial killer whose crimes defy explanation.,80231903.0,Jim Mickle,United States,Boyd Holbrook,Dramas
95,,Movie,Weeds on Fire,2018-09-27 00:00:00,2016.0,TV-14,"In 1980s Hong Kong, a school principal forms a baseball team with an eclectic crew of local students who soon fight their way to the top of the league.",81012295.0,Chi Fat Chan,Hong Kong,Liu Kai Chi,Dramas
104,,Movie,Much Loved,2017-09-27 00:00:00,2015.0,TV-MA,Four friends who make their living as prostitutes in Morocco deal with both the dangers and stigma that come with their profession.,80060037.0,Nabil Ayouch,France,Loubna Abidar,Dramas
75,,Movie,Joseph: King of Dreams,2011-09-27 00:00:00,2000.0,TV-PG,"With his gift of dream interpretation and his brilliantly colored coat, Joseph inspires jealousy in his brothers in this animated Bible story.",60003155.0,Rob LaDuca,United States,Ben Affleck,Children & Family Movies
133,,Movie,Malaal,2019-09-26 00:00:00,2019.0,TV-14,"Class divides become thorns in the budding romance between the crony of a nativist Mumbai politician and the new, North Indian resident of his chawl.",81177238.0,Mangesh Hadawale,India,Meezaan Jaffrey,International Movies
108,,Movie,The Grandmaster,2019-09-26 00:00:00,2013.0,PG-13,"As the Japanese invasion looms, Chinese kung fu master Ip Man's world changes when rival master Gong Er and her father arrive in his village.",70270775.0,Wong Kar Wai,Hong Kong,Tony Leung Chiu-wai,Action & Adventure
103,,Movie,The Hurricane Heist,2018-09-26 00:00:00,2018.0,PG-13,A deadly hurricane with mile-high waves provides the perfect cover for stealing $600 million from a U.S. Treasury outpost in Mississippi.,80215923.0,Rob Cohen,United States,Toby Kebbell,Action & Adventure
82,,Movie,Def Comedy Jam 25,2017-09-26 00:00:00,2017.0,TV-MA,"In this special live event, giants of stand-up come together to commemorate the 25th anniversary of Russell Simmons's groundbreaking ""Def Comedy Jam.""",80151483.0,Louis J. Horvitz,United States,Dave Chappelle,Stand-Up Comedy
94,,Movie,Restless Creature: Wendy Whelan,2017-09-26 00:00:00,2016.0,TV-MA,"After 30 years with the New York City Ballet, celebrated dancer Wendy Whelan redefines herself as an artist in a new stage of life.",80173625.0,Linda Saffire,United States,Peter Martins,Documentaries
97,,Movie,Furie,2019-09-25 00:00:00,2019.0,TV-MA,"When traffickers kidnap her daughter from their village, vengeful Hai Phuong returns to Saigon – and her outlaw roots – to take down the abductors.",81075519.0,Le Van Kiet,Vietnam,Ngo Thanh Van,Action & Adventure
89,,Movie,Leap!,2019-09-25 00:00:00,2016.0,PG,"Félicie and Victor, two young friends in 1880s France, escape from an orphanage to pursue their dreams in Paris, the glittering City of Lights.",80166318.0,Eric Summer,France,Bronwen Mantel,Children & Family Movies
146,,Movie,Oh! Baby (Malayalam),2019-09-25 00:00:00,2019.0,TV-14,A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life.,81186758.0,B. V. Nandini Reddy,India,Samantha Ruth Prabhu,Comedies
146,,Movie,Oh! Baby (Tamil),2019-09-25 00:00:00,2019.0,TV-14,A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life.,81186757.0,B. V. Nandini Reddy,India,Samantha Ruth Prabhu,Comedies
130,,Movie,USS Indianapolis: Men of Courage,2019-09-25 00:00:00,2016.0,R,"After becoming stranded in the Philippine Sea during World War II, a tenacious Navy crew faces a dire lack of supplies and a string of shark attacks.",80108976.0,Mario Van Peebles,United States,Nicolas Cage,Action & Adventure
110,,Movie,A Wrinkle in Time,2018-09-25 00:00:00,2018.0,PG,"Years after their father disappears, Meg and her younger brother Charles Wallace cross galaxies on a quest to save him from the heart of darkness.",80208155.0,Ava DuVernay,United States,Storm Reid,Children & Family Movies
91,,Movie,White Island,2017-09-25 00:00:00,2016.0,TV-MA,"Returning to Ibiza after several years walking the straight and narrow in London, Connor falls back in with a criminal crowd. It's like he never left.",80162144.0,Benjamin Turner,United Kingdom,Lyndon Ogbourne,Comedies
106,,Movie,Inside Man: Most Wanted,2019-09-24 00:00:00,2019.0,R,A hotshot NYPD negotiator butts heads with the FBI and meets his match in a meticulous criminal mastermind as she attempts to rob the Federal Reserve.,81053953.0,Michael J. Bassett,United States,Aml Ameen,Action & Adventure
58,,Movie,Jeff Dunham: Beside Himself,2019-09-24 00:00:00,2019.0,TV-MA,"Jeff Dunham takes the stage in Dallas with his old pals Peanut, Walter, José Jalapeño, Bubba J and Achmed to poke fun at himself and American culture.",81074113.0,Troy Miller,United States,Jeff Dunham,Stand-Up Comedy
111,,Movie,China Salesman,2018-09-24 00:00:00,2017.0,TV-MA,A Chinese engineer travels to a war-torn African country to rebuild its telecommunications but instead finds massive corruption and explosive danger.,80992496.0,Tan Bing,China,Li Dong Xue,Action & Adventure
112,,Movie,Swearnet: The Movie,2017-09-24 00:00:00,2014.0,NR,"After losing a TV network deal, the Trailer Park Boys launch their own Internet series, but they soon confront personal and creative differences.",70304191.0,Warren P. Sonoda,Canada,Mike Smith,Comedies
102,,Movie,The Bar,2017-09-24 00:00:00,2017.0,TV-MA,Strangers holed up in a Madrid bar after witnessing a murder begin to turn on each other as panic sets in and the body count rises.,80103311.0,Álex de la Iglesia,Spain,Blanca Suárez,Comedies
152,,Movie,Manmadhudu 2,2019-09-23 00:00:00,2019.0,TV-MA,"Under pressure to marry, a perennial bachelor hires a much younger woman to act as his fiancée, but her bond with his family throws his plan for a loop.",81176200.0,Rahul Ravindran,India,Nagarjuna Akkineni,Comedies
87,,Movie,Under the Eiffel Tower,2019-09-23 00:00:00,2018.0,TV-MA,An American man in the midst of a mid-life crisis travels to the French countryside to find a new lease on life.,80208906.0,Archie Borders,United States,Matt Walsh,Comedies
78,,Movie,Iliza Shlesinger: Confirmed Kills,2016-09-23 00:00:00,2016.0,TV-MA,"The stand-up sensation tackles TV's ""Shark Tank,"" what it means to be a woman and how to deal with the lawless party goblin that lives in us all.",80106966.0,Bobcat Goldthwait,United States,Iliza Shlesinger,Stand-Up Comedy
121,,Movie,Do Paise Ki Dhoop Chaar Aane Ki Baarish,2019-09-22 00:00:00,2009.0,TV-14,"When a sex worker hires a gay songwriter to care for her disabled son, the ensuing bonds that form offer a complex portrayal of love and family.",81080769.0,Deepti Naval,India,Manisha Koirala,Dramas
91,,Movie,20 Feet From Stardom,2018-09-22 00:00:00,2013.0,PG-13,"Winner of the 2014 Academy Award for Best Documentary Feature, this film takes a look at the world of backup vocalists and the legends they support.",70267838.0,Morgan Neville,United States,Darlene Love,Documentaries
101,,Movie,In Darkness,2018-09-22 00:00:00,2018.0,TV-MA,"A blind pianist fears for her life after the suspicious death of her neighbor, the daughter of a businessman accused of war crimes.",80211380.0,Anthony Byrne,United Kingdom,Natalie Dormer,Independent Movies
101,,Movie,Gaga: Five Foot Two,2017-09-22 00:00:00,2017.0,TV-MA,"Follow pop provocateur Lady Gaga as she releases a new album, preps for her Super Bowl halftime show, and confronts physical and emotional struggles.",80196586.0,Chris Moukarbel,United States,Lady Gaga,Documentaries
119,,Movie,The Bad Batch,2017-09-22 00:00:00,2016.0,R,"Banished to a wasteland of undesirables, a young woman struggles to find her feet among a drug-soaked desert society and an enclave of cannibals.",80099204.0,Ana Lily Amirpour,United States,Suki Waterhouse,Dramas
83,,Movie,SMOSH: The Movie,2015-09-22 00:00:00,2015.0,PG-13,"To keep his teen crush from spotting him in an embarrassing YouTube video, Anthony and his friend Ian must enter the virtual world and alter the clip.",80059432.0,Alex Winter,United States,Ian Hecox,Comedies
182,,Movie,King of Boys,2019-09-21 00:00:00,2018.0,TV-MA,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",81172721.0,Kemi Adetiba,Nigeria,Sola Sobowale,Dramas
106,,Movie,Merry Men: The Real Yoruba Demons,2019-09-21 00:00:00,2018.0,TV-MA,"Four of the richest bachelors in Abuja, Nigeria enjoy a life of fast cars, palatial homes and female attention while concealing their true activities.",81172727.0,Toka McBaror,Nigeria,Ramsey Nouah,Comedies
102,,Movie,Sarah's Key,2019-09-21 00:00:00,2010.0,PG-13,"Paris, 1942: To protect her brother from the police arresting Jewish families, a young girl hides him away, promising to come back for him.",70153543.0,Gilles Paquet-Brenner,France,Aidan Quinn,Dramas
98,,Movie,The Wedding Party 2: Destination Dubai,2019-09-21 00:00:00,2017.0,TV-14,"In this sequel to the 2016 hit ""The Wedding Party,"" a couple's date night ends in an accidental proposal, sparking a series of chaotic family events.",81172728.0,Niyi Akinmolayan,Nigeria,Enyinna Nwigwe,Comedies
124,,Movie,Quincy,2018-09-21 00:00:00,2018.0,TV-MA,"This documentary profiles music and culture icon Quincy Jones, offering unprecedented access to his private life and stories from his unparalleled career.",80102952.0,Rashida Jones,United States,Quincy Jones,Documentaries
83,,Movie,Between Two Ferns: The Movie,2019-09-20 00:00:00,2019.0,TV-MA,"Armed with awkward questions and zero self-awareness, Zach Galifianakis hits the road to find famous interview subjects for his no-budget talk show.",80243600.0,Scott Aukerman,United States,Zach Galifianakis,Comedies
82,,Movie,Daddy Issues,2019-09-20 00:00:00,2019.0,TV-MA,"Maya finally hooks up with her online dream girl, only to discover she’s deeply involved with an older sugar daddy – a man Maya knows all too well.",81122669.0,Amara Cash,United States,Madison Lawlor,Dramas
,1,TV Show,The Hockey Girls,2019-09-20 00:00:00,2019.0,TV-MA,"The passionate members of a girls' roller hockey team chase down victories in the rink while striving to make time for school, family and romance.",81000389.0,Kiko Cruz Claverol,Spain,Iria del Río,International TV Shows
111,,Movie,Travel Mates 2,2019-09-20 00:00:00,2018.0,TV-14,"When struggling singer Onur decides to return to his old job, incurable klutz Şeref organizes a surprise tour full of pitfalls and mishaps.",81132439.0,Bedran Güzel,Turkey,Oğuzhan Koç,Comedies
102,,Movie,Mad World,2018-09-20 00:00:00,2016.0,TV-MA,"A stockbroker struggling with bipolar disorder goes to live with his estranged father in a cramped flat, where old resentments bubble to the surface.",80150502.0,Chun Wong,Hong Kong,Shawn Yue,Dramas
87,,Movie,The First Line,2016-09-20 00:00:00,2014.0,TV-14,Two determined Athenian attorneys spearhead a lawsuit against the British Museum for the return of the Parthenon Marbles to Greece.,80119815.0,Coerte Voorhees,United States,Pantelis Kodogiannis,Dramas
116,,Movie,Bitcoin Heist,2017-09-02 00:00:00,2016.0,TV-14,"A unconventional, efficient Interpol special agent goes rogue and assembles a team of thieves to catch a shadowy hacker called ""The Ghost.""",80203776.0,Ham Tran,Vietnam,Kate Nhung,Action & Adventure
139,,Movie,I Am Not Madame Bovary,2017-09-02 00:00:00,2016.0,TV-14,"To qualify for an apartment reserved for singles, a married couple stages a divorce. But when her husband unexpectedly remarries, Li seeks justice.",80143797.0,Feng Xiaogang,China,Fan Bingbing,Comedies
101,,Movie,Vincent N Roxxy,2017-09-02 00:00:00,2016.0,R,"In rural Louisiana, a terse loner forges a redemptive bond with a woman he saved from a killer, but a violent past soon catches up with both of them.",80161931.0,Gary Michael Schultz,United States,Emile Hirsch,Dramas
130,,Movie,Miss Julie,2015-09-02 00:00:00,2014.0,PG-13,"On a summer night in 1890 Ireland, the unsettled daughter of aristocrats coaxes her father's valet to seduce her, though he's engaged to their cook.",80017275.0,Liv Ullmann,Norway,Jessica Chastain,Dramas
171,,Movie,Kabir Singh,2019-09-19 00:00:00,2019.0,TV-MA,"An exalted but short-fused surgeon plunges into a spiral of drugs, alcohol and rage after his intense relationship with his girlfriend turbulently ends.",81107545.0,Sandeep Reddy Vanga,India,Shahid Kapoor,Dramas
84,,Movie,Océans,2019-09-19 00:00:00,2009.0,G,This documentary examines the vital role water plays in human existence and the cause-and-effect interplay between oceans and the environment.,70118953.0,Jacques Perrin,France,Pierce Brosnan,Documentaries
112,,Movie,The Endless,2018-09-19 00:00:00,2017.0,TV-MA,"As kids, they escaped a UFO death cult. Now, two adult brothers seek answers after an old videotape surfaces and brings them back to where they began.",80190449.0,Justin Benson,United States,Aaron Moorhead,Independent Movies
62,,Movie,Jerry Before Seinfeld,2017-09-19 00:00:00,2017.0,TV-14,"Jerry Seinfeld returns to the club that gave him his start in the 1970s, mixing iconic jokes with stories from his childhood and early days in comedy.",80163156.0,Michael Bonfiglio,United States,Jerry Seinfeld,Stand-Up Comedy
112,,Movie,Come and Find Me,2019-09-18 00:00:00,2016.0,R,"When his photographer girlfriend vanishes, an L.A. graphic designer starts his own investigation and uncovers a web of deceit, crime and corruption.",80149143.0,Zack Whedon,Canada,Aaron Paul,Dramas
103,,Movie,Class Rank,2018-09-18 00:00:00,2018.0,TV-14,"When her class rank threatens her college plans, an ambitious teen convinces a nerdy peer to run for the school board to abolish the ranking system.",80987075.0,Eric Stoltz,United States,Olivia Holt,Comedies
64,,Movie,Barbie Dolphin Magic,2017-09-18 00:00:00,2017.0,TV-G,"While visiting Ken and exploring a coral reef, Barbie and her sisters make an amazing discovery and meet a mysterious new friend.",80192815.0,Conrad Helten,United States,Erica Lindbeck,Children & Family Movies
82,,Movie,Keith Richards: Under the Influence,2015-09-18 00:00:00,2015.0,TV-PG,"In a documentary with unparalleled access, discover the people and sounds that inspired rock 'n' roll legend Keith Richards from childhood to today.",80066798.0,Morgan Neville,United States,Keith Richards,Documentaries
80,,Movie,A Haunting at Silver Falls: The Return,2019-09-17 00:00:00,2019.0,TV-14,"When the ghost of her serial killer aunt seemingly resurfaces, Jordan must return to Silver Falls in hopes of finally putting an end to the torment.",81147293.0,Teo Konuralp,United States,Laura Flannery,Horror Movies
88,,Movie,Avengement,2019-09-17 00:00:00,2019.0,TV-MA,"Betrayed by his loan shark brother, a hardened convict escapes from prison while on furlough to exact revenge against the people who made him a killer.",80991316.0,Jesse V. Johnson,United Kingdom,Scott Adkins,Action & Adventure
124,,Movie,Clive Davis: The Soundtrack of Our Lives,2019-09-17 00:00:00,2017.0,TV-14,This music-driven documentary charts Clive Davis' 50-year career as one of the world's most influential record moguls.,80190588.0,Chris Perkel,United States,Clive Davis,Documentaries
